concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
went,898669,11176,138
lend,897008,14565,3
cabled,894984,3015,1
volume,889765,5313,12
resent,889386,6184,2
oven,889052,60229,1
start,887971,11405,29
position,884061,4412,275
established,883269,104,84
lid,881954,7927,2
several,881296,41841,17
culled,880474,4356,1
produced,877364,6743,18
mile,876353,19268,2
tear,874727,101325,4
death,872456,15803,106
kid,871123,6887,1
dey,869714,57210,1
gave,866775,45918,84
might,866398,38196,117
light,864851,45977,83
spell,864740,4344,2
company,864621,32285,44
rear,863754,19495,5
convert,863280,7821,3
ward,862782,34219,2
cost,861705,19516,53
mar,859081,29065,1
shell,858012,4301,2
low,856451,36552,15
pen,856094,91221,11
tower,851005,34202,4
new york,850739,36122,249
association,849459,25637,93
votes,848116,2689,34
british,845025,26862,4
includes,844767,187,4
called,844705,6992,172
vill,844220,51225,1
feature,843392,3675,5
vent,842376,10774,1
producer,841435,6480,1
pound,838245,18477,3
wont,835049,6905,12
lot,832500,15922,33
tink,830572,14162,1
places,828301,19230,61
member,826586,11759,345
placed,825280,18130,94
six,824101,12197,18
however,823353,3163,40
lub,817085,28881,1
near,815537,11372,16
music,814762,27829,37
met,814124,17945,76
bust,812914,24115,1
men,812067,51846,545
locate,811890,327,2
best,810941,25757,91
pull,807887,11259,4
central,805301,22705,2
vale,803948,17835,1
lthough,800817,4588,1
hell,800544,40282,4
prevent,800038,3211,61
mill,799342,55857,5
deaths,790819,12789,2
beck,790673,11131,1
wood,788318,27851,9
th,787567,26535,44
found,786244,19603,268
hot,785969,15186,2
back,782101,10199,51
fame,781592,12442,8
receives,780968,6496,1
receiver,780941,4722,1
helm,778482,6055,1
art,775777,46741,42
receive,775286,12533,54
public,774638,19126,91
win,774095,29482,25
ode,773487,23086,2
tole,772535,13825,1
along,772386,3301,15
heat,770484,24245,7
sue,770168,13600,17
located,767126,256,15
rode,767051,26685,4
released,766155,5771,3
run,763359,23715,35
prayed,758123,1859,8
treat,757569,27085,5
system,755488,26450,49
ways,755076,14365,24
loyal,754950,27592,7
hear,753350,29258,84
mold,751374,16422,1
founder,749364,3080,49
founded,747291,2515,22
