concept,number_of_alexander_street_docs_appeared_in
families falling,1
three sources,1
average underclothed,1
income increases,1
bed room,1
house rented,1
families investigated,1
industrial city,1
dollars spent,1
migrant families,1
credit merchants,1
entire house,1
two sources,1
among families,1
negro family,1
food suggested,1
municipal standard,1
garments worn,1
four exceptions,1
income varying,1
considered fair,1
entire group,1
food consumption,1
december inclusive,1
families included,1
present investigation,1
income devoted,1
income expended,1
income group,1
every increase,1
sundry items,1
physical necessities,1
amount spent,1
suggested budget,1
many families,1
food consumed,1
agricultural districts,1
reading matter,1
could judge,1
light products,1
food expenditures,1
actual expenditures,1
two extremes,1
food bought,1
many persons,1
food purchased,1
families found,1
municipal study,1
number employed,1
small percentage,1
fortyseven families,1
rent tended,1
income contributed,1
average expenditure,1
proposed budget,1
larger percentage,1
underfed families,1
also families,1
periods varying,1
expenditures made,1
investigator found,1
small size,1
five persons,1
expenditure tendencies,1
larger size,1
percentage spent,1
single family,1
incomes varying,1
spent less,1
fair standard,1
large size,1
coal bought,1
food obtained,1
fathers earnings,1
lodgers tended,1
income required,1
average percentage,1
increasing percentage,1
market price,1
proposed standard,1
insured families,1
investigation lived,1
leads us,1
families studied,1
credit purchase,1
thirteen families,1
price paid,1
pay day,1
standard set,1
average cost,1
families living,1
fair allowance,1
greater percentage,1
fair degree,1
sufficient number,1
corner grocer,1
underfed less,1
prices paid,1
rent fuel,1
reason given,1
living maintained,1
feel justified,1
renting,1
budgets,1
savings,1
quantities,1
migrant,1
kerosene,1
tendencies,1
engel,1
thereby,1
migrants,1
consumed,1
underfed,1
sublet,1
gas,1
buckets,1
workingmen,1
expenditure,1
ton,1
comparing,1
compare,1
applicable,1
fuel,1
thirteen,1
lodgers,1
calories,1
ascertained,1
unaccounted,1
procuring,1
requisitions,1
doubled,1
balanced,1
ascertaining,1
estimating,1
furnace,1
lighting,1
exceeding,1
proximity,1
deficiencies,1
offset,1
rare gift,1
past century,1
high office,1
better world,1
live harmoniously,1
white races,1
unborn generations,1
must create,1
dependent people,1
must believe,1
firm conviction,1
international mission,1
influential,1
thanked god far,1
florida home,1
million negroes,1
population b percent negro population,1
tuberculosis b negro morbidity,1
eight united states cities,1
phipps institute tuberculosis clinic,1
registration area pennsylvania philadelphia,1
united states census,1
visits per patient,1
certain important causes,1
jefferson chest hospital,1
c death rate,1
various monthly intervals,1
negro patients withdrew,1
negro death rate,1
rush hospital clinic,1
negro tuberculous patients,1
philadelphia general hospital,1
jefferson chest clinic,1
rush hospital clinics,1
high death rate,1
tuberculosis per population,1
color table attendance,1
colored death rates,1
forms per population,1
philadelphia health council,1
negro patients examined,1
tuberculosis death rate,1
color table deaths,1
five tuberculosis clinics,1
philadelphia inclusive white,1
negro tuberculosis problem,1
phipps institute,1
tuberculosis among negroes,1
densely populated,1
per population,1
negro mortality,1
rush hospital,1
jefferson chest,1
registration area,1
th streets,1
hospital facilities,1
whittier centre,1
every death,1
color attendance,1
philadelphia general,1
color table,1
death among,1
percent respectively,1
negro patients,1
state clinic,1
new patients,1
clinic visits,1
percent negro,1
three physicians,1
percent new,1
color deaths,1
two wards,1
tuberculous negroes,1
monthly reports,1
highest percent,1
large percent,1
allegheny avenue,1
active cases,1
patients returning,1
clinic care,1
winona street,1
southwestern part,1
pennsylvania society,1
schuylkill river,1
tuberculosis reported,1
cases reported,1
leading cause,1
area bounded,1
city wards,1
report brings,1
detailed study,1
wards showing,1
philadelphia showing,1
whites negroes,1
pulmonary,1
clinic,1
map,1
percent,1
wards,1
germantown,1
density,1
bounded,1
ratio,1
landis,1
outranked,1
pneumonia,1
diagnosis,1
thrifty,1
inhabit,1
sanatoria,1
blanket making time,1
loom,1
living friend,1
young mans heart within,1
buff trip slip,1
pink trip slip,1
blue trip slip,1
saved st michaels,1
de vay around,1
tell tell tell shouted,1
cries charco charco,1
hail ye saints,1
threecent fare punch,1
poor little fellow,1
said hed rather,1
dear little girl,1
veteran bayard taylor,1
george washington oh,1
old pianner go,1
wilberforce concert company,1
could never get,1
uncle danl,1
morn till eve,1
de apple,1
gyp dat,1
de parrel,1
ring tonight,1
lord heah,1
money musk,1
black regiment,1
cant rade,1
apple tree,1
eightcent fare,1
care punch,1
burning pile,1
dot baby,1
george came,1
daily rounds,1
fifty miles,1
sixcent fare,1
poor willie,1
baldheaded man,1
lether gyp,1
thee rock,1
new trial,1
fathers heart,1
cannot tell,1
little hatchet,1
keys like,1
talented lady,1
giving forth,1
church bells,1
father said,1
gridiron c,1
prayer rock,1
doctor said,1
thousand appletrees,1
got mad,1
god spare,1
sir waal,1
wilberforce college,1
bell swung,1
chamber floor,1
good look,1
funniest thing,1
strange light,1
last words,1
excited spectators,1
l n,1
winters day,1
ever listened,1
sez sez,1
ages cleft,1
take hearts,1
thray males,1
saint louis,1
weakly goodnatured,1
crack skulls,1
select reading,1
last drink,1
human bones,1
worlds end,1
lundys lane,1
belfry stair,1
dey,1
highest praise,1
de,1
punch,1
peer,1
ven,1
papa,1
twas,1
yees,1
curfew,1
hark,1
winds,1
vill,1
patrick,1
squire,1
leaped,1
shouted,1
fondly,1
vent,1
lether,1
tempest,1
luck,1
engines,1
sez,1
hatchet,1
gridiron,1
varieties,1
recitations,1
comin,1
leetle,1
passenjare,1
rhymes,1
sait,1
mare,1
een,1
bleeding,1
swift,1
swing,1
dells,1
cider,1
elocutionists,1
alas,1
frame,1
sbutters,1
indade,1
staggered,1
nothin,1
blew,1
lub,1
elocution,1
elocutionist,1
gambler,1
drippingpan,1
koom,1
creeds,1
gesture,1
spire,1
haf,1
reckon,1
clutch,1
brook,1
agoin,1
fool,1
closer,1
boots,1
pork,1
lind,1
tumbled,1
chill,1
beck,1
wheel,1
drinks,1
listener,1
tying,1
trinks,1
jemima,1
bonnet,1
creations,1
delivers,1
mitchell,1
melodious,1
bathed,1
hurled,1
dinks,1
organbuilder,1
boxed,1
lime,1
hitched,1
melted,1
nails,1
deys,1
warnt,1
tore,1
rude,1
waved,1
drenched,1
breasts,1
pin,1
sinks,1
smash,1
bushes,1
dew,1
miserable,1
tangled,1
fecht,1
lire,1
furriner,1
disthress,1
sowl,1
cookmaid,1
sop,1
mrs wyman,1
gertrude,1
ophelia,1
loving service,1
helpmate,1
dry goods boxes,1
whatsoever things,1
continually,1
stanza,1
rural dweller,1
urban centers,1
city dweller,1
greatly intensified,1
playgrounds,1
black mammy,1
confederacy,1
way joe looked,1
agnes milton,1
god oh,1
remember yes,1
hed say,1
little pale,1
little trouble,1
tuesday morning,1
happy days,1
said ive,1
strange gleam,1
empty room,1
head away,1
second mail,1
trembling violently,1
lucy,1
bob,1
agnes,1
jim,1
chuckled,1
pitiful,1
holden,1
nightmare,1
flickering,1
fainted,1
lying,1
expressionless,1
means hammering,1
uphill road,1
two million negro women,1
past twelve months,1
tobacco factories,1
unskilled processes,1
absolute need,1
crabs,1
restlessness,1
forty,1
long experience,1
new concept,1
little thing,1
little homeall,1
little hall,1
arrested woodocean,1
tell cy,1
vic,1
goldie,1
cy,1
ducks,1
bothered,1
drown,1
puppies,1
dear mrs loving,1
mrs loving shes,1
many years ago,1
crying little boys,1
fast little boys,1
boymy george rachel,1
child hides behind,1
mrs lane,1
though thinking aloud,1
come back tomorrow,1
mrs loving,1
outer door opens,1
slumber boat,1
rachel reenters,1
rachel im,1
honey jimmy,1
mr strong,1
much older,1
rachel rachel,1
rachel laughing,1
little jimmy,1
honey boy,1
little black,1
jimmy jimmy,1
silence rachel,1
rachel slowly,1
rachel looking,1
doesnt tom,1
jimmy boy,1
sail back,1
green shade,1
dont forget,1
dear ill,1
stands looking,1
presently returns,1
rachel puts,1
im going,1
loveliest thing,1
outer door,1
four days,1
small tot,1
little flat,1
know im,1
rachel watch,1
jimmy go,1
im telling,1
sewing rises,1
always asks,1
finally gets,1
heavens sake,1
could play,1
room rachel,1
dont understand,1
every direction,1
every minute,1
brief pause,1
ever knew,1
door opens,1
evidently nerving,1
going toward,1
naturally asked,1
rear doorway,1
last couple,1
hand looks,1
though dazed,1
left things,1
may go,1
head back,1
wont let,1
bookcase full,1
flat opens,1
weeping begins,1
ethels face,1
left wall,1
eastern gate,1
nod brightly,1
makes believe,1
circus,1
presently,1
rachel,1
theyre,1
ethel,1
rises,1
gently,1
leans,1
stops,1
sings,1
youll,1
pauses,1
pie,1
armchair,1
dragging,1
softly,1
rolls,1
nowand,1
apple,1
entryway,1
arent,1
kitchenette,1
limps,1
shakings,1
sewingmachine,1
muzzer,1
kisses,1
shuts,1
closes,1
vase,1
wistfully,1
shakes,1
hugs,1
queer,1
dearie,1
napkin,1
team,1
fiercely,1
nod,1
fern,1
fairy,1
pushes,1
weve,1
puppy,1
barrass,1
ghost,1
runned,1
grate,1
delicately,1
lowers,1
tendrils,1
accompaniment,1
tommys,1
hugging,1
stole,1
kissing,1
ranned,1
cigarette,1
headwaiter,1
limb,1
snuffles,1
stared,1
eternityif,1
bedtime,1
complimentary,1
negro writer,1
white folk,1
popular trend,1
portray,1
criticized,1
offend,1
little tin horn,1
fairy queen,1
tommy saw,1
empty stocking,1
tommy,1
clapped,1
national chairmen,1
addresses roster,1
gone home,1
united states employment office washington,1
miner normal school washington,1
female negro domestic workers,1
united states employment service,1
personal service per cent,1
male negro domestic workers,1
negro women domestic workers,1
negro domestic workers although,1
white male domestic workers,1
selected domestic service occupations,1
continental united states,1
every eleven negroes,1
female negro domestic,1
female domestic workers,1
past thirty years,1
personal service workers,1
negro domestic workers,1
northern industrial centers,1
domestic service workers,1
negroes ten years,1
negro women years,1
philadelphia per cent,1
day per cent,1
electric washing machine,1
per cent unsatisfactory,1
op cit p,1
white domestic workers,1
per cent decrease,1
per cent dishonest,1
domestic workers union,1
personal service decreased,1
day workers increased,1
received school training,1
young woman sent,1
female domestic,1
following tables,1
negro domestic,1
basement rooms,1
permanent employment,1
domestic workers,1
mechanical pursuits,1
public domestic,1
general houseworker,1
taking food,1
day workers,1
employment agents,1
negro butlers,1
marital condition,1
domestic employees,1
cook receives,1
seven cases,1
domestic worker,1
following table,1
general houseworkers,1
table ix,1
negro graduates,1
weekly wages,1
white chambermaidwaitresses,1
may concern,1
day worker,1
selected cities,1
left school,1
specific occupations,1
general housework,1
washing machines,1
principal occupation,1
also show,1
domestic work,1
domestic positions,1
white servants,1
uncertain height,1
one position,1
first quarter,1
leaving school,1
former employer,1
negro churches,1
domestic nature,1
four cities,1
considerably higher,1
c office,1
conditions obtaining,1
living conditions,1
apartment houses,1
application card,1
former employers,1
business buildings,1
higher grades,1
money paid,1
modal period,1
general trend,1
flanner house,1
average earnings,1
family responsibilities,1
employers premises,1
many homes,1
latter half,1
living quarters,1
figures show,1
seventh ward,1
month meant,1
references,1
daily,1
rooming,1
fee,1
waiters,1
widowed,1
appliances,1
untrained,1
unaccustomed,1
inefficiency,1
standardized,1
butler,1
afternoons,1
acquaintances,1
accounted,1
disfavor,1
certify,1
biweekly,1
launderer,1
chambermaidwaitress,1
refunded,1
seventh councilmanic district,1
seventh district,1
councilman,1
governors commission,1
thou didst,1
wast thou,1
first door,1
great feeling,1
fell upon,1
thunder,1
methought,1
judgementseat,1
late madam c j walker,1
mother anne paul smith,1
african methodist episcopal church,1
first colored womens club,1
month saved one hundred,1
first sunday school movement,1
womans christian temperance union,1
lady henry somerset,1
mt meigs alabama,1
womens era club,1
new orleans la,1
patch work quilts,1
commercial high school,1
fourteen years old,1
mrs roberts,1
live stock across,1
two years spent,1
mary ellen,1
anna elizabeth,1
miss gordon,1
miss baldwin,1
mrs mossell,1
mrs lincoln,1
sarah fayerweather,1
sarah lee,1
old enough,1
grandma pyles,1
three rs,1
granny gross,1
little york,1
frederick douglas,1
president solomon,1
john g,1
homewood cottage,1
martha payne,1
white rose,1
crazy jane,1
abel lee,1
six dollars,1
many trials,1
new church,1
cultured persons,1
died soon,1
soon became,1
school authorities,1
fell asleep,1
african slaves,1
quaker family,1
agassiz school,1
gold rush,1
great demand,1
eldest son,1
little daughter,1
fruitful service,1
highly respected,1
new south,1
meeting house,1
gentle woman,1
race among,1
hunter college,1
mission house,1
noble band,1
unselfish devotion,1
sedalia club,1
religious instruction,1
earliest youth,1
deep feeling,1
six children,1
soon found,1
wide range,1
heavy heart,1
remaining years,1
words shall,1
valuable acquisition,1
mission field,1
ten acres,1
wonderfully active,1
little family,1
life immortal,1
well educated,1
loving hands,1
eleven children,1
never known,1
fine physique,1
devoted wife,1
young teacher,1
one phase,1
entire life,1
race uplift,1
macon mississippi,1
u convention,1
another time,1
trail blazer,1
free man,1
ever met,1
readily received,1
negro descent,1
many friends,1
first saw,1
distinguished honor,1
lofty aim,1
shining example,1
also taught,1
beloved husband,1
mother true,1
musical talent,1
became necessary,1
race extraction,1
eloquent tribute,1
union forces,1
gifted woman,1
finally crossed,1
free papers,1
free state,1
first thought,1
household word,1
english friends,1
tells us,1
ill health,1
bom october,1
long line,1
roanoke virginia,1
become familiarized,1
union army,1
reader must,1
good deeds,1
home became,1
cambridge massachusetts,1
good education,1
advanced age,1
frequent contact,1
remarkable women,1
never lost,1
burning desire,1
easy task,1
would stop,1
libyan sibyl,1
studiously inclined,1
inextricably bound,1
strict adherence,1
unceasing efforts,1
marked success,1
family circle,1
time came,1
sterling character,1
second marriage,1
children rise,1
countrys history,1
mental alertness,1
cannot think,1
animating influence,1
father mother,1
heard tonight,1
always spoke,1
slave parents,1
abiding place,1
family north,1
less fortunate,1
model housekeeper,1
owners household,1
forged ahead,1
keen insight,1
foreign lands,1
freedom came,1
never allowed,1
keep alive,1
winchester virginia,1
motto deeds,1
frugal habits,1
remarkable degree,1
exceptional women,1
practicing medicine,1
signal honor,1
family removed,1
harpers ferry,1
elected superintendent,1
chicago board,1
unknown land,1
charming personality,1
elected principal,1
illustrious example,1
latin greek,1
began teaching,1
hail women,1
priceless heritage,1
childhood days,1
health failed,1
affection tinged,1
lower grades,1
lived lives,1
home duties,1
direct descendant,1
sheltered,1
wagons,1
salem,1
incidents,1
prior,1
conspicuous,1
redoubled,1
quilt,1
com,1
heroism,1
logs,1
narrow,1
emulate,1
tender,1
characters,1
keokuk,1
wesley,1
indomitable,1
youthful,1
endeared,1
troubled,1
verified,1
contentment,1
incite,1
julian,1
precaution,1
fugitives,1
recitals,1
wheeling,1
seasons,1
epitaph,1
plague,1
rescued,1
frugal,1
winchester,1
rolled,1
arriving,1
muse,1
meal,1
languages,1
bereft,1
edition,1
discern,1
roam,1
harness,1
abolitionists,1
vehicle,1
knit,1
pursuers,1
perils,1
ruled,1
extant,1
ventured,1
junior,1
clarity,1
amid,1
plains,1
gentleness,1
tense,1
illuminated,1
benevolence,1
bereaved,1
recite,1
slaveship,1
gestures,1
ornament,1
blacksmith,1
luther,1
apostle,1
optimistic,1
redeem,1
constancy,1
galaxy,1
auditors,1
enshrined,1
lineage,1
solicitude,1
groove,1
kindle,1
sympathizers,1
lisp,1
encountered,1
chores,1
sonsinlaw,1
elegance,1
monrovia,1
workmanship,1
route,1
excel,1
roadside,1
givin,1
lash,1
auctionblock,1
contingent,1
delights,1
unprotected,1
startled,1
espoused,1
trips,1
missing,1
brighten,1
arena,1
plying,1
emigrants,1
vigorous,1
resourcefulness,1
perceived,1
survived,1
contemplate,1
babyhood,1
deficiency,1
colaborer,1
exaggeration,1
enhanced,1
glorifies,1
pestilence,1
intensified,1
immortals,1
demonstrations,1
bouquets,1
old monongahela house,1
third floor back,1
mrs crossan,1
mrs fenton,1
old woman,1
good said,1
little band,1
vocal music,1
ladies cabin,1
great cities,1
father told,1
earths noblemen,1
wind moaned,1
southern planter,1
lords writing,1
lizette,1
true story,1
meg,1
doll,1
jane,1
madam,1
sprang,1
planter,1
halted,1
terrace,1
tales,1
shrouded,1
loungers,1
unlocked,1
transom,1
thronged,1
spanned,1
belle,1
parted,1
orphan,1
stem,1
beam,1
harps,1
messiah,1
moan,1
corners,1
mr c c spaulding president,1
son mr e c wright,1
take blacks offer ill lend,1
r r wright hes,1
mr howards blacksmith shop,1
mrs e p booze,1
president franklin delano roosevelt,1
white rock baptist church,1
georgia state industrial college,1
three dollars per month,1
national negro bankers association,1
national freedom day association,1
take one hundred hours,1
georgia state teachers association,1
negro public high school,1
ran nearly every step,1
richard r wright,1
reverend cyrus francis,1
howard university law school,1
white star liner,1
late dr booker,1
murrell dobbins school,1
san francisco california,1
georgia industrial college,1
friend william mckinley,1
advised mr baker,1
american missionary association,1
state central committee,1
atlanta baptist seminary,1
georgia industrial school,1
ware high school,1
enlisted colored troops,1
national republican convention,1
five years old,1
good cheer club,1
national freedom day,1
products trading company,1
georgia state college,1
american bankers association,1
colored state fair,1
boys new dormitory,1
private banking license,1
old box car,1
following sunday morning,1
youngest daughter harriet,1
office every day,1
mr black said,1
establish business scholarships,1
drink every drop,1
box car school,1
state banking department,1
commencement day orator,1
would ever receive,1
erstwhile masters family,1
college station georgia,1
first college class,1
prosperous new year,1
states rights sentinel,1
southern banking company,1
richard hot biscuits,1
trust company th,1
th anniversary celebration,1
sell ill sell,1
first joint conference,1
murrell dobbins,1
major wrights,1
white man said,1
give colored people,1
major wright,1
four hundred,1
mr howard,1
mrs wright,1
thoughts turned backward,1
president wrights,1
professor wright,1
mr lincoln,1
dr dubois,1
mrs lemon,1
president wright,1
howard wolfe,1
five dollars,1
president ware,1
president mckinley,1
theodore roosevelt,1
sunday shoes,1
osnaburg shirt,1
grandma lucy,1
wrights academy,1
paine college,1
thrift committee,1
professor snelson,1
college president,1
fried chicken,1
c suggs,1
general howard,1
negro inventors,1
judge hammond,1
shop across,1
eight oclock,1
storrs school,1
wright family,1
every class,1
greatly worried,1
book peddler,1
last one,1
negro press,1
twentyfive cents,1
old gentleman,1
old ax,1
prominent bankers,1
box car,1
twelve oclock,1
nearly dead,1
professor grabbed,1
daughter julia,1
new duties,1
black boy,1
freedom day,1
front porch,1
county fair,1
major importance,1
dont move,1
floyd county,1
youngest daughter,1
colored inventor,1
better quit,1
state fairs,1
weekly journal,1
great war,1
haitian coffee,1
banking company,1
negro business,1
freedmens bureau,1
youngest son,1
general clarkson,1
wide publicity,1
minneapolis minnesota,1
radcliffe college,1
five girls,1
seek admission,1
industry award,1
black men,1
hollow log,1
white meat,1
mother harriet,1
available material,1
largely attended,1
prevailed upon,1
full dress,1
atlanta georgia,1
negro teachers,1
good manners,1
professor shook,1
weekly sentinel,1
storrs schoolhouse,1
afro american,1
slave children,1
big niggers,1
oxford university,1
political activities,1
cabin home,1
stirring night,1
little chap,1
hot day,1
st matthew,1
third term,1
wrote lydia,1
georgia collector,1
graduates says,1
eldest daughter,1
chip schools,1
political arena,1
convention hall,1
former master,1
one arm,1
negro historian,1
big house,1
old axe,1
sidewalk watching,1
savings account,1
sons marriage,1
brought along,1
chip school,1
following message,1
fool enough,1
leading negroes,1
hot biscuits,1
great regard,1
good offices,1
thrust upon,1
warm evening,1
cuthbert georgia,1
summer school,1
first leg,1
savannah among,1
finally gave,1
didnt believe,1
next summer,1
extra work,1
took one,1
new position,1
joining one,1
keen scent,1
thirteenth amendment,1
also interested,1
college degrees,1
negro progress,1
right man,1
southern bank,1
hold upon,1
economic progress,1
right arm,1
south streets,1
governor dorsey,1
great grandfather,1
special guests,1
total enrollment,1
equally pleased,1
fortunate enough,1
hurried home,1
exservice men,1
christmas holidays,1
called back,1
great task,1
planning ahead,1
make one,1
atlanta constitution,1
couldnt make,1
second leg,1
chicago university,1
couldnt understand,1
th th,1
still remains,1
great disappointment,1
weeks time,1
distinguished graduate,1
greek verb,1
bank officials,1
food production,1
work assignment,1
gone elsewhere,1
couldnt see,1
first trip,1
liquid banks,1
go around,1
didnt see,1
mile walk,1
interior department,1
pennsylvania banker,1
amusement park,1
took note,1
twentythird psalm,1
platform accompanied,1
cornerstone laying,1
secret ambition,1
slow processes,1
british museum,1
zuni indians,1
bespectacled cook,1
stock exchange,1
humble home,1
first depositor,1
negro question,1
prominent citizens,1
think well,1
columbus georgia,1
emancipation address,1
didnt need,1
consolidated bank,1
hadnt gotten,1
broad smile,1
enough money,1
many battles,1
opened school,1
prayer meeting,1
leading citizens,1
general grant,1
house afire,1
one exception,1
bodleian library,1
found time,1
front yard,1
could send,1
might get,1
th amendments,1
chapel exercises,1
slavery time,1
couldnt read,1
paris academy,1
would teach,1
father refused,1
shook hands,1
work instead,1
turned loose,1
puncheon seats,1
sixtyacre site,1
wood pile,1
roman forum,1
wagon rolled,1
often wondered,1
secured positions,1
diplomatic tolerance,1
huntsville alabama,1
oxygen tent,1
often told,1
donkey reared,1
philadelphia churches,1
biscuit watch,1
encouraged deposits,1
england france,1
leave cuthbert,1
easy matter,1
engagement ring,1
means least,1
mckinley,1
anderson,1
naples,1
dick,1
richard,1
praised,1
depositors,1
amused,1
shortly,1
coffee,1
lydia,1
bowl,1
fliers,1
sentinel,1
complained,1
smart,1
recited,1
geometry,1
hilda,1
worried,1
stationed,1
thunderbolt,1
trout,1
chip,1
classmates,1
cuthbert,1
sho,1
hired,1
confessed,1
connections,1
cologne,1
banker,1
mule,1
axe,1
drawers,1
typesetter,1
dry,1
deposits,1
stomach,1
disappointment,1
bedroom,1
timber,1
traits,1
depositor,1
accompanying,1
carpenters,1
plow,1
switch,1
legs,1
pencil,1
macon,1
inlets,1
receiver,1
satchel,1
loans,1
recipient,1
soup,1
behavior,1
knocked,1
scratched,1
kirkseys,1
appetite,1
dozen,1
fanners,1
chips,1
ridden,1
triumvirate,1
croaker,1
seventythree,1
byron,1
pickens,1
truman,1
slate,1
paymaster,1
venice,1
yankees,1
substantiate,1
whipped,1
welcoming,1
admire,1
bobbed,1
bumped,1
eaten,1
apologized,1
amazed,1
outskirts,1
trough,1
daylight,1
classrooms,1
conjugate,1
algebra,1
rake,1
disliked,1
gossip,1
schoolteacher,1
persuasion,1
logrolling,1
declamation,1
pies,1
tarry,1
pallet,1
perspiration,1
stroke,1
duel,1
confided,1
piazza,1
conjectured,1
sundown,1
bookstore,1
newspaperman,1
disciplined,1
expelled,1
cautioned,1
postcards,1
inscription,1
uniforms,1
publicizing,1
shipped,1
ingratiate,1
staid,1
declination,1
renomination,1
declined,1
swunk,1
ripe,1
fetched,1
quotation,1
doorbell,1
vesuvius,1
haircut,1
shave,1
importation,1
vale,1
easley,1
reappoint,1
consolidation,1
folder,1
replica,1
boule,1
bantu,1
incomplete,1
georgia douglas johnson,1
breaks breaks breaks,1
hearts temple child,1
woman falls back,1
may theres,1
alien cage,1
stand mute,1
womans heart,1
tender eyes,1
ecstasy,1
twilight,1
enters,1
ceases,1
dreamer,1
curtains,1
bide,1
feather,1
slumber,1
leave new york city,1
next day coleridgetaylor went,1
one hundred acres,1
old dilapidated church,1
seven years old,1
twelve years old,1
little shrill voice,1
three years later,1
old british school,1
various subjects religious,1
last three years,1
john mercer,1
dr tobey,1
soon fell asleep,1
crispus attucks,1
free one year,1
mr bruce,1
work one day,1
mrs auld,1
sierra leone,1
miss lucretia,1
paul cuffé,1
months ago,1
colonel gooch,1
one morning,1
shrill voice,1
former mistress,1
every week,1
french general,1
orchestra conductor,1
african king,1
four dollars,1
weeks later,1
many pieces,1
hurried away,1
brother michael,1
evening came,1
new friend,1
native tongue,1
one seemed,1
music lives,1
every corner,1
several days,1
said tom,1
fathers estate,1
union society,1
finally reached,1
two sons,1
two boats,1
days later,1
often said,1
masters plantation,1
great herd,1
little violin,1
stood looking,1
asked frederick,1
called forth,1
great theatre,1
thinking deeply,1
audience laughed,1
columbian orator,1
six eggs,1
farmville virginia,1
great surprise,1
hurried back,1
little schoolhouse,1
southern russia,1
scotch captain,1
great house,1
often visited,1
curlyheaded boy,1
solo boy,1
fifty dishes,1
sent away,1
also brought,1
western association,1
well said,1
ablest men,1
man said,1
twentyseven years,1
greatest milestone,1
stormy sea,1
old age,1
little way,1
little talk,1
making preparations,1
paper called,1
already begun,1
salt furnace,1
spare time,1
time telling,1
head saying,1
first things,1
write stories,1
patapsco river,1
good voices,1
sundayschool class,1
many thousands,1
next moment,1
took charge,1
gone abroad,1
potato hole,1
harpers monthly,1
chopping bee,1
mortally wounded,1
whaling expedition,1
said pointing,1
buttered bread,1
book called,1
children choose,1
brother david,1
man finding,1
reached home,1
faneuil hall,1
walk much,1
college professors,1
soon began,1
plantation cook,1
business manager,1
lived alone,1
elevator boy,1
england scotland,1
door opened,1
beaming face,1
callahan building,1
boy went,1
coming back,1
way back,1
soon returned,1
taken back,1
turn went,1
open air,1
cant make,1
soon learned,1
dirt floor,1
read write,1
army joined,1
ferry boat,1
josiah,1
coleridgetaylor,1
toussaint,1
african,1
wheatleys,1
alexandre,1
frederick,1
pigs,1
shirt,1
goodbye,1
si,1
coaly,1
shaking,1
freddie,1
thro,1
crew,1
cart,1
choirmaster,1
russian,1
brunswick,1
caldwell,1
schooner,1
oak,1
organgrinder,1
malden,1
assuring,1
leaked,1
interrupted,1
stealing,1
vessels,1
chillicothe,1
seemingly,1
slip,1
fiftyfourth,1
bite,1
sleigh,1
headmaster,1
streams,1
spaniards,1
pour,1
sailor,1
twisted,1
majors,1
leaned,1
manuscript,1
cargo,1
fearing,1
straightened,1
spied,1
stove,1
printingpress,1
embarrassment,1
harbor,1
halfbrother,1
fist,1
fork,1
fastened,1
squatted,1
begging,1
knife,1
shipyard,1
propped,1
steamboat,1
settling,1
goodday,1
soapsuds,1
ivy,1
evenings,1
cracks,1
crust,1
tipped,1
skillets,1
forks,1
button,1
pig,1
thin,1
balls,1
anthems,1
rehearsals,1
baton,1
proofs,1
minnehaha,1
cooked,1
purse,1
yelled,1
rocked,1
labours,1
cheaply,1
hoed,1
georgetown,1
pillowcase,1
rosewhen,1
sticks,1
tease,1
pirates,1
chased,1
banger,1
muzzle,1
pitching,1
haul,1
trained leaders,1
metropolitan areas,1
tenant,1
mahatma gandhi,1
atom bomb,1
universal peace,1
absolve,1
full participation,1
bishop b w arnett,1
prof j p shorter,1
mrs maria holland,1
old covered bridge,1
majesty queen victoria,1
greene county ohio,1
payne theological seminary,1
ripe old age,1
bishop james,1
hair long,1
great ability,1
shorter hall,1
greene county,1
c n,1
old town,1
bishop payne,1
free lance,1
occasion demanded,1
edinburgh scotland,1
state farm,1
greek testament,1
columbus pike,1
clifton pike,1
great lakes,1
theological department,1
woe betide,1
natural sciences,1
portsmouth va,1
stood near,1
lady principal,1
general law,1
brief sketch,1
roadside inn,1
ward museum,1
students dubbed,1
prof,1
tragic end,1
arnett,1
daniel,1
stout,1
elder,1
delany,1
livingston,1
rust,1
acres,1
biblical,1
tooth,1
rebuilding,1
inflexible,1
offender,1
courteous,1
whiskers,1
orator,1
willie,1
twig,1
captive,1
lowery,1
vices,1
mrs pipes,1
hoovercurtis ticket,1
present pledged,1
suitable candidates,1
war service committee,1
little rock arkansas,1
sectional hatred,1
unworthy statement,1
indecent,1
mrs hope,1
servile subordination,1
colored women may,1
various pursuits,1
racial group,1
dishonor,1
susan b anthony club,1
race cooperation,1
biennial session,1
school nursing,1
local council,1
four assembly districts,1
nineteenth assembly district,1
colored suffragists,1
twentyfirst,1
miss helen holman,1
womens suffrage movement,1
political equality association,1
right would,1
ballot privilege,1
carlton ymca,1
lyceum,1
mr dana pledged,1
mr dana,1
prize fight,1
parade including,1
visiting strangers,1
national equal rights league,1
district grand household,1
november nd,1
mrs keyser,1
normal college,1
race newspaper,1
sunday night,1
leisure class,1
illeg girl,1
miss jeannette carter,1
protective league,1
bridge street african,1
thursday evening,1
equal suffrage league,1
west th street block association,1
south side,1
wealthy mrs j borden harriman,1
one hundred women delegates among,1
mrs lydia smith,1
political party thought,1
done splendid work,1
progressive state convention,1
miss addams,1
mr wilson,1
women associated,1
women suffrage,1
associating women,1
enthusiastic workers,1
leaders would,1
profit thereby,1
course would,1
changed wonderfully,1
found strength,1
huge joke,1
agitated,1
colored delegates,1
saratoga,1
